Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-11,0.0,2.0,0.0,0.0,5195.3,10390.6,2.0,0.0,74,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-01-01,-9655.676980999999,12.0,5.0,0.4166666666666667,15270.597499999998,183247.16999999998,6.0,6.0,66,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-01,0.0,1.0,0.0,0.0,6217.48,6217.48,1.0,0.0,20,Extreme Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-04,0.0,142.0,0.0,0.0,4742.898943661972,673491.65,0.0,142.0,15,Extreme Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-04-03,863.956464,63.0,30.0,0.47619047619047616,3213.545873015874,202453.39000000004,33.0,30.0,25,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-04-04,266.39774,34.0,34.0,1.0,19800.740588235294,673225.18,34.0,0.0,28,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-02-12,0.0,1.0,0.0,0.0,46692.72,46692.72,1.0,0.0,70,Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-03-10,100.375782,5.0,3.0,0.6,2585.338,12926.69,2.0,3.0,79,Extreme Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-03-11,0.0,2.0,0.0,0.0,9530.66,19061.32,2.0,0.0,82,Extreme Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-04-11,540.0591099999999,10.0,10.0,1.0,1960.1329999999998,19601.329999999998,0.0,10.0,76,Extreme Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-07-11,503.462576,16.0,11.0,0.6875,1929.28125,30868.5,5.0,11.0,29,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-11,0.0,1.0,0.0,0.0,9836.88,9836.88,1.0,0.0,32,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-11,393.07947,4.0,4.0,1.0,2557.49,10229.96,0.0,4.0,76,Extreme Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-12-11,0.0,4.0,0.0,0.0,1319.1399999999999,5276.5599999999995,4.0,0.0,74,Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-04-04,0.0,1.0,0.0,0.0,63727.4,63727.4,1.0,0.0,28,Fear
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-06-12,0.0,45.0,0.0,0.0,10673.925777777777,480326.66,0.0,45.0,72,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-12,1762.4599999999998,10.0,10.0,1.0,6750.81,67508.1,10.0,0.0,83,Extreme Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-05-10,0.0,1.0,0.0,0.0,0.61,0.61,0.0,1.0,66,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-08,0.0,1.0,0.0,0.0,0.12,0.12,0.0,1.0,29,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-08,0.0,1.0,0.0,0.0,0.68,0.68,0.0,1.0,49,Neutral
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-09,0.0,1.0,0.0,0.0,0.54,0.54,0.0,1.0,75,Extreme Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-10,0.0,1.0,0.0,0.0,0.73,0.73,0.0,1.0,78,Extreme Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-12-08,0.0,1.0,0.0,0.0,0.61,0.61,0.0,1.0,79,Extreme Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-01-12,197.422418,4.0,2.0,0.5,358.71500000000003,1434.8600000000001,2.0,2.0,71,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-03-12,30.727222,42.0,1.0,0.023809523809523808,330.0188095238095,13860.79,26.0,16.0,81,Extreme Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-04-12,910.584797,102.0,14.0,0.13725490196078433,795.815294117647,81173.15999999999,39.0,63.0,79,Extreme Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-05-12,3174.023699,290.0,106.0,0.36551724137931035,587.6594137931035,170421.23,145.0,145.0,56,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-06-12,514.886454,108.0,32.0,0.2962962962962963,1009.2267592592593,108996.49,61.0,47.0,72,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-07-12,1040.616939,180.0,63.0,0.35,580.1653888888889,104429.77,83.0,97.0,25,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-08-12,227.07215799999997,69.0,25.0,0.36231884057971014,423.3769565217391,29213.01,33.0,36.0,25,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-09-12,311.290605,55.0,19.0,0.34545454545454546,399.53854545454544,21974.62,32.0,23.0,31,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-12,1474.6705979999997,182.0,67.0,0.36813186813186816,512.0651098901099,93195.84999999999,109.0,73.0,49,Neutral
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-11-12,1157.6894889999999,325.0,109.0,0.3353846153846154,307.6034769230769,99971.13,117.0,208.0,80,Extreme Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-12,574.3980740000001,159.0,46.0,0.2893081761006289,458.388427672956,72883.76000000001,75.0,84.0,83,Extreme Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-01,17.784696,16.0,3.0,0.1875,632.90125,10126.42,9.0,7.0,66,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-02,526.4482089999999,33.0,23.0,0.696969696969697,490.5812121212121,16189.18,23.0,10.0,70,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-03,109.593094,27.0,12.0,0.4444444444444444,617.1918518518519,16664.18,5.0,22.0,74,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-04,-680.2874629999999,19.0,6.0,0.3157894736842105,247.43947368421058,4701.350000000001,6.0,13.0,73,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-05,37.385304,7.0,1.0,0.14285714285714285,299.0128571428572,2093.09,0.0,7.0,72,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-01,677.276764,90.0,43.0,0.4777777777777778,548.5241111111111,49367.17,30.0,60.0,68,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-02,-782.6517170000001,108.0,27.0,0.25,475.5567592592593,51360.130000000005,83.0,25.0,60,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-03,349.120926,21.0,8.0,0.38095238095238093,1106.6938095238095,23240.57,3.0,18.0,44,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-04,93.006465,4.0,3.0,0.75,405.9275,1623.71,3.0,1.0,72,Greed
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-01,846.655814,102.0,24.0,0.23529411764705882,321.5754901960783,32800.69999999999,51.0,51.0,20,Extreme Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-02,2440.916534,182.0,73.0,0.4010989010989011,633.5157142857144,115299.86000000002,108.0,74.0,26,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-03,376.017126,33.0,12.0,0.36363636363636365,591.2160606060606,19510.13,7.0,26.0,33,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-04,7.052034,14.0,2.0,0.14285714285714285,635.2357142857144,8893.300000000001,12.0,2.0,15,Extreme Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-01,73.45167500000002,57.0,15.0,0.2631578947368421,628.7080701754386,35836.36,20.0,37.0,34,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-02,874.3810560000001,34.0,16.0,0.47058823529411764,389.9655882352941,13258.83,14.0,20.0,44,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-03,444.266681,32.0,7.0,0.21875,502.82343749999995,16090.349999999999,31.0,1.0,25,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-04,0.0,2.0,0.0,0.0,874.78,1749.56,2.0,0.0,28,Fear
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-05-01,8.594753,38.0,4.0,0.10526315789473684,439.9673684210527,16718.760000000002,1.0,37.0,53,Neutral
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-05-02,32.72269,3.0,1.0,0.3333333333333333,431.90000000000003,1295.7,2.0,1.0,67,Greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-04,444.20519799999994,16.0,10.0,0.625,37473.885624999995,599582.1699999999,10.0,6.0,72,Greed
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-03,0.0,19.0,0.0,0.0,10522.962631578948,199936.29,19.0,0.0,33,Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-03-04,0.0,60.0,0.0,0.0,16666.611,999996.66,60.0,0.0,15,Extreme Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-03,0.0,155.0,0.0,0.0,5549.306774193548,860142.55,155.0,0.0,25,Fear
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-04-04,0.0,51.0,0.0,0.0,8264.040980392158,421466.09,51.0,0.0,28,Fear
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-04,0.840939,29.0,2.0,0.06896551724137931,4654.808275862069,134989.44,25.0,4.0,68,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-05,0.0,14.0,0.0,0.0,6216.103571428573,87025.45000000001,14.0,0.0,72,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-07,1202.488212,13.0,9.0,0.6923076923076923,7476.965384615385,97200.55,2.0,11.0,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-08,0.0,13.0,0.0,0.0,11076.53923076923,143995.00999999998,13.0,0.0,71,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-10,0.0,4.0,0.0,0.0,34988.58,139954.32,4.0,0.0,73,Greed
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-01-11,1040.5747959999999,9.0,2.0,0.2222222222222222,25670.12222222222,231031.09999999998,7.0,2.0,76,Extreme Greed
